COMP90045 Additional testing for project, stage 3b
User:  xuliny

--- Running comprehensive tests ---
array_asg01:        PASS
array_asg02:        PASS
array_asg03:        PASS
array_asg04:        PASS
array_asg05:        PASS
array_asg11.bad:    PASS:
Compiler output:
array_asg12.bad:    PASS:
Compiler output:
array_asg13.bad:    PASS:
Compiler output:
arrrecord2:         PASS
arrrecord3:         PASS
arrrecord4:         PASS
arrrecord5:         PASS
arrrecord6:         PASS
arrrecord7:         PASS
arrrecord:          PASS
asg01:              PASS
asg02:              PASS
asg03:              PASS
asg04:              PASS
asg05:              PASS
asg06:              PASS
asg11.bad:          PASS:
Compiler output:
asg12.bad:          PASS:
Compiler output:
boolexps:           PASS
boolparams:         PASS
call01:             PASS
call02:             PASS
call03:             PASS
call04:             PASS
call05:             PASS
call06:             PASS
call07:             PASS
call08:             PASS
call11.bad:         PASS:
Compiler output:
call12.bad:         PASS:
Compiler output:
co_x_isting2:       PASS
co_x_isting:        PASS
double_decl.bad:    PASS:
Compiler output:
doublemain.bad:     PASS:
Compiler output:
escapes:            PASS
excess_xs2.bad:     PASS:
Compiler output:
excess_xs.bad:      PASS:
Compiler output:
expr1.bad:          PASS:
Compiler output:
exprs:              PASS
fib:                PASS
hanoi:              PASS
idents:             PASS
if1:                PASS
if2:                PASS
if3:                PASS
if4:                PASS
if5:                PASS
if6:                PASS
if7:                PASS
ifwhile:            PASS
instantiation:      PASS
ints:               PASS
io:                 PASS
labels:             PASS
mode1.bad:          FAIL:
Expected compiler error. Instead, compiled successfully.
mode2.bad:          PASS:
Compiler output:
mode3.bad:          PASS:
Compiler output:
mode4.bad:          PASS:
Compiler output:
multivar1.bad:      PASS:
Compiler output:
multivar2.bad:      PASS:
Compiler output:
multivar3.bad:      PASS:
Compiler output:
namespace1:         PASS
namespace2:         PASS
namespace3:         PASS
namespace4:         PASS
nested_cond:        PASS
nested_index:       PASS
nomain.bad:         PASS:
Compiler output:
Roo: Map.!: given key is not an element in the map
CallStack (from HasCallStack):
  error, called at libraries/containers/Data/Map/Internal.hs:610:17 in containers-0.5.11.0:Data.Map.Internal
noproc.bad:         PASS:
Compiler output:
operators:          PASS
optimize:           PASS
paramform1.bad:     PASS:
Compiler output:
paramform2.bad:     PASS:
Compiler output:
paramnumber1.bad:   PASS:
Compiler output:
paramnumber2.bad:   PASS:
Compiler output:
paramtype1.bad:     PASS:
Compiler output:
paramtype2.bad:     PASS:
Compiler output:
paramtype3.bad:     PASS:
Compiler output:
parent_scope.bad:   PASS:
Compiler output:
pizza:              PASS
rec_arr_squares2:   PASS
rec_arr_squares:    PASS
rec_field:          PASS
rec_math:           PASS
record_asg01:       PASS
record_asg02:       PASS
record_asg03:       PASS
record_asg04:       PASS
record_asg05:       PASS
record_asg11.bad:   PASS:
Compiler output:
record_asg12.bad:   PASS:
Compiler output:
record_asg13.bad:   PASS:
Compiler output:
rec_squares:        PASS
rec_test2:          PASS
rec_test3:          PASS
rec_test:           PASS
ref1:               PASS
ref2.bad:           FAIL:
Expected compiler error. Instead, compiled successfully.
refexample:         PASS
squares:            PASS
type01.bad:         PASS:
Compiler output:
type02.bad:         PASS:
Compiler output:
type03.bad:         PASS:
Compiler output:
type04.bad:         PASS:
Compiler output:
type05.bad:         PASS:
Compiler output:
type06.bad:         PASS:
Compiler output:
type07.bad:         PASS:
Compiler output:
while1:             PASS
while2:             PASS
while3.bad:         PASS:
Compiler output:
xorpower:           PASS
zerodiv.runbad:     PASS
115/117 cases passed
2 cases failed

--- End of private testing for xuliny ---

